HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,P1,P2,HM,AM,THG,THGA,TAG,TAGA,TG1,TGA1,TG2,TGA2,THS,THSA,TAS,TASA,TS1,TSA1,TS2,TSA2,THST,THSTA,TAST,TASTA,TST1,TSTA1,TST2,TSTA2,THC,THCA,TAC,TACA,TC1,TCA1,TC2,TCA2,THF,THFA,TAF,TAFA,TF1,TFA1,TF2,TFA2,THY,THYA,TAY,TAYA,TY1,TYA1,TY2,TYA2,THR,THRA,TAR,TARA,TR1,TRA1,TR2,TRA2,LG1,LG2
Paris SG,Dijon,4,0,H,2,0,H,20,16,9,3,12,18,4,10,0,2,0,0,7,7,3,3,7,2,1,8,16,3,4,14,52,20,17,61,125,54,60,118,24,5,5,25,49,18,19,42,18,6,8,26,43,18,25,60,36,34,37,37,77,85,105,85,10,12,7,6,18,18,17,9,4,2,0,0,4,3,1,0,8.315328000000001,-5.294272000000001
Bordeaux,Nimes,2,0,H,0,0,D,20,8,6,4,9,16,7,4,3,3,0,0,7,7,4,3,3,0,2,2,7,5,9,11,45,44,35,36,67,81,82,101,13,7,13,10,27,18,33,36,18,19,12,21,35,37,30,45,46,63,36,48,93,103,87,106,7,10,5,8,16,19,10,22,1,0,0,2,2,0,1,3,0.15878400000000026,-0.873408
Brest,Strasbourg,0,3,A,0,2,A,14,7,4,5,8,11,12,2,1,3,0,0,7,7,3,3,6,5,3,8,11,15,6,16,40,37,32,31,97,80,89,66,15,10,13,16,34,31,31,34,15,16,6,18,33,33,32,24,47,43,41,41,116,105,89,86,7,9,6,7,14,19,12,18,0,0,0,2,1,1,0,2,-1.524672,-8.782272
Metz,St Etienne,2,0,H,1,0,H,6,10,3,0,11,18,5,3,3,3,0,0,7,7,3,3,5,3,4,4,7,7,9,10,44,23,20,41,77,83,60,82,16,10,10,10,24,29,27,29,22,9,8,23,37,32,29,38,38,41,42,48,82,94,95,112,2,11,5,5,12,22,11,15,0,2,2,0,0,3,2,0,2.5777279999999996,-3.8097279999999993
Montpellier,Reims,0,4,A,0,3,A,5,24,1,9,7,11,3,8,1,0,2,0,7,7,4,4,9,4,5,7,13,9,6,13,56,50,35,74,84,102,53,119,27,12,13,19,37,32,19,33,26,25,10,27,42,43,17,42,58,49,49,46,98,95,94,78,9,8,12,10,13,17,22,14,1,1,2,1,3,2,4,1,2.201408,-7.605696000000001
Nice,Lille,1,1,D,0,0,D,8,12,3,4,13,18,5,3,1,6,0,0,7,7,3,3,4,5,5,1,10,9,13,2,36,42,36,29,72,97,86,69,14,11,16,5,24,33,33,17,14,16,7,17,34,41,30,31,39,35,39,43,91,90,92,101,5,6,5,8,19,11,9,18,0,1,0,0,0,1,1,3,5.044672,10.305984000000002
Lyon,Monaco,4,1,H,4,0,H,15,18,6,5,12,15,2,12,3,4,1,0,7,7,3,3,5,2,2,3,10,7,10,9,67,20,38,35,139,59,110,65,18,6,6,12,42,20,28,24,41,9,19,20,64,22,52,29,44,29,48,35,91,86,94,85,7,6,11,4,15,15,20,10,0,1,1,0,1,2,3,1,4.837312000000001,1.4579840000000004
Rennes,Brest,2,1,H,0,0,D,24,9,8,4,2,12,8,1,1,3,0,0,8,8,4,4,7,6,5,10,16,10,11,18,59,44,57,43,107,84,111,87,14,13,19,21,32,31,38,36,26,17,18,17,41,38,45,35,52,48,69,62,106,110,124,116,10,7,7,10,20,14,15,22,1,1,1,1,2,2,1,1,3.1839872000000016,-4.2197376
Nantes,Paris SG,0,3,A,0,0,D,6,13,1,4,13,13,2,4,2,1,0,0,7,8,3,4,7,4,9,1,9,10,20,3,35,37,73,34,71,90,145,70,16,18,25,13,26,35,58,21,10,16,25,12,26,40,47,28,43,41,41,51,89,94,89,103,8,6,8,6,15,13,18,20,2,0,0,1,3,1,4,3,-0.7916159999999999,9.652262400000001
St Etienne,Montpellier,0,1,A,0,1,A,8,10,0,2,16,17,8,2,3,3,0,0,8,8,4,3,5,6,4,5,9,12,13,13,40,41,28,52,70,88,89,126,17,19,10,20,27,32,38,41,21,15,16,18,32,43,45,51,53,64,40,46,113,123,105,106,6,10,4,9,14,18,14,17,0,0,2,1,2,0,5,2,-6.047782399999999,-1.2388736
Angers,Nice,0,3,A,0,2,A,11,12,5,5,18,12,9,5,5,2,0,0,8,8,4,4,5,5,6,4,10,16,11,10,51,35,36,55,95,87,80,109,16,18,10,22,29,41,27,37,14,15,20,25,32,35,39,44,59,65,52,55,86,116,104,108,12,9,14,5,17,16,20,17,1,1,0,0,1,1,0,1,3.0129536000000003,5.0357376
Dijon,Lorient,0,0,D,0,0,D,11,9,2,1,18,13,9,7,2,1,0,0,8,8,4,4,3,6,6,9,4,18,12,15,43,57,39,49,76,138,72,102,14,17,13,22,22,51,28,38,17,34,20,13,35,64,37,25,68,48,61,58,123,97,127,103,10,3,5,9,19,9,17,17,1,0,0,2,1,0,0,3,-7.235417600000001,-4.3771264
Nimes,Metz,0,1,A,0,1,A,16,8,2,5,13,15,10,1,3,2,0,1,8,8,4,4,7,9,2,4,9,13,9,7,47,65,33,60,90,121,83,93,20,26,8,19,37,42,27,29,18,24,15,23,34,52,42,35,51,58,44,53,103,115,93,112,5,14,10,11,13,25,15,25,1,1,0,1,1,3,0,3,-3.6987264,5.062182399999999
Reims,Strasbourg,2,1,H,2,1,H,12,9,4,3,13,13,5,3,0,2,0,0,8,8,3,4,1,6,6,8,10,13,9,16,18,45,39,45,77,124,96,80,6,14,18,20,28,34,36,38,7,15,8,30,25,45,34,36,45,32,52,49,105,85,100,94,10,4,9,8,22,15,15,19,2,0,0,2,4,3,0,2,-3.0845568000000014,-4.025817600000001
Monaco,Bordeaux,4,0,H,3,0,H,17,5,6,0,10,12,10,4,2,2,0,0,8,8,4,3,8,6,4,5,11,13,9,5,72,30,22,37,128,80,87,89,22,12,14,11,33,30,33,22,33,9,17,18,64,31,42,41,46,50,47,40,109,97,102,119,9,6,9,9,24,13,19,22,2,1,1,0,3,2,2,0,-1.8336127999999996,3.1270272
Lille,Lyon,1,1,D,1,1,D,15,8,6,1,14,10,9,4,3,3,0,1,8,8,4,4,8,1,5,5,14,3,14,8,50,40,72,39,98,77,154,77,17,12,24,14,37,20,48,25,23,14,23,13,33,36,66,34,53,58,47,57,110,114,103,101,4,10,8,9,15,19,18,19,1,3,1,1,1,3,2,2,9.244787200000003,6.8698496
Strasbourg,Marseille,0,1,A,0,0,D,9,1,2,1,13,17,2,2,0,4,0,0,9,8,4,4,3,8,6,3,10,18,11,8,57,35,31,70,105,92,78,118,18,18,10,14,39,42,21,33,26,6,13,39,37,41,36,64,48,45,54,58,113,107,107,115,6,11,16,12,17,19,24,20,0,0,3,3,0,2,3,3,-6.220654080000001,7.3941376000000005
Bordeaux,Montpellier,0,2,A,0,0,D,9,9,1,3,14,10,3,5,2,1,0,0,9,9,5,4,5,0,5,5,9,9,14,13,65,52,38,60,92,106,99,134,19,11,12,20,33,28,40,41,25,23,18,26,46,51,47,59,55,79,57,62,114,129,122,122,10,13,7,12,21,24,17,20,1,0,2,1,2,0,5,2,-0.49837823999999964,2.00890112
Paris SG,Rennes,3,0,H,2,0,H,9,16,6,3,19,15,2,7,3,0,0,0,9,9,4,4,11,2,9,4,23,3,18,11,72,36,48,40,158,76,131,93,33,8,18,18,62,22,40,35,22,16,15,21,51,30,49,39,48,52,54,62,102,116,108,122,10,14,10,7,19,22,21,17,4,2,1,1,4,3,2,2,10.721809920000002,5.547189760000002
Brest,Lille,3,2,H,3,1,H,12,22,8,7,13,15,3,11,4,3,0,0,9,9,4,4,6,8,6,2,12,20,15,4,54,44,48,37,120,111,113,85,19,15,20,8,42,44,43,21,27,18,10,22,46,43,42,40,55,54,57,56,136,118,124,124,8,12,11,9,18,23,18,22,0,0,0,0,1,1,1,4,-6.37579008,8.395829760000002
Lens,Reims,4,4,D,1,0,H,14,8,5,6,12,7,9,1,3,1,0,0,7,9,3,5,5,1,9,7,10,10,12,14,39,17,59,79,90,57,89,133,13,5,22,20,31,20,32,37,23,2,18,30,41,19,30,48,59,35,60,53,125,95,118,98,8,8,12,11,20,14,22,17,0,3,2,3,3,3,4,3,3.0014080000000005,0.5323545599999986
Lorient,Nantes,0,2,A,0,0,D,18,16,4,4,17,9,5,5,3,1,0,0,9,8,4,4,6,6,2,6,12,15,9,13,33,53,36,53,81,113,77,103,15,16,10,17,29,40,27,39,17,12,16,24,44,34,28,44,66,45,46,53,140,121,102,107,12,8,7,7,18,19,17,14,0,1,1,1,0,3,3,1,-2.50170112,-3.6332928
Metz,Dijon,1,1,D,1,1,D,14,14,4,6,16,11,5,6,2,1,0,0,9,9,4,4,7,3,1,12,10,7,4,18,50,33,33,81,91,109,87,147,19,10,8,34,32,31,24,52,27,12,18,30,43,45,44,71,49,59,55,49,108,125,141,110,5,14,9,6,17,28,21,10,0,2,0,0,1,3,1,0,7.049745919999999,-4.788334080000001
Nimes,Angers,1,5,A,0,2,A,11,15,4,8,12,15,6,2,2,5,0,0,9,9,5,4,7,10,5,11,9,14,10,19,63,73,44,52,106,129,106,99,22,31,13,23,39,47,34,46,28,25,18,20,44,53,41,40,64,73,27,51,116,130,104,128,8,16,5,7,16,27,22,18,1,2,0,0,1,4,1,1,-5.958981120000001,-0.5896371199999995
Nice,Monaco,1,2,A,0,1,A,8,15,4,8,8,16,1,4,2,2,0,0,9,9,4,4,5,6,3,7,14,10,15,13,44,54,56,50,92,120,145,85,17,15,11,18,32,42,39,30,19,19,31,22,44,53,74,35,52,53,63,47,116,126,119,109,6,12,15,7,22,22,26,15,0,1,1,1,0,1,3,2,7.02859008,1.5331097600000003
Lyon,St Etienne,2,1,H,0,1,A,18,16,6,4,19,19,3,5,5,3,0,0,9,9,4,4,9,3,4,6,15,9,9,13,82,38,30,47,162,92,78,98,24,11,10,13,49,31,27,34,43,21,11,28,70,43,40,45,56,44,60,59,113,115,129,140,10,10,8,8,21,22,17,21,1,1,2,0,3,2,2,0,6.495879680000001,-7.838225919999999
Rennes,Bordeaux,0,1,A,0,1,A,14,6,2,3,18,19,7,3,2,2,0,0,10,10,5,4,9,7,4,9,18,14,9,11,83,53,27,54,147,102,101,115,22,17,14,17,43,41,34,31,34,18,21,28,56,41,49,56,54,60,59,50,123,141,128,139,11,10,11,11,21,20,23,25,1,1,1,0,2,2,2,0,1.4377518080000016,-3.398702592
Monaco,Paris SG,3,2,H,0,2,A,15,9,5,4,12,19,2,1,2,3,0,1,10,10,5,5,12,6,12,1,17,14,26,3,89,35,86,40,160,93,167,92,28,12,29,14,47,34,68,25,43,13,29,14,78,36,53,37,56,62,54,64,135,117,121,131,11,8,9,8,28,17,22,22,2,1,0,1,3,2,4,3,4.226487808,11.577447936000002
Brest,St Etienne,4,1,H,4,1,H,10,17,5,1,12,10,5,6,1,1,0,0,10,10,5,5,9,10,5,8,15,22,10,15,66,66,46,65,132,133,94,116,27,22,14,19,50,51,31,40,30,29,16,31,49,54,45,48,68,69,79,78,149,133,148,159,12,15,11,13,22,26,20,26,0,0,2,0,1,1,2,0,-2.100632064,-9.270580736
Nantes,Metz,1,1,D,1,1,D,17,10,5,4,13,14,6,2,2,3,0,0,9,10,4,5,7,7,3,4,11,13,11,8,41,50,41,76,93,121,105,123,17,22,13,21,31,43,36,37,12,20,16,33,33,49,48,51,56,54,59,66,111,124,124,136,10,7,12,14,18,17,19,29,2,0,1,1,3,1,1,3,0.09336575999999974,6.639796736
Dijon,Lens,0,1,A,0,1,A,10,6,2,2,14,6,8,6,2,0,0,0,10,8,5,4,3,6,5,9,5,19,14,14,54,66,51,40,101,161,104,65,16,18,18,15,30,56,36,26,26,41,18,17,50,76,50,20,86,61,66,60,152,126,137,102,12,4,12,6,22,12,23,15,1,0,3,0,1,0,3,3,-2.830667264000001,3.4011264000000008
Montpellier,Strasbourg,4,3,H,3,3,D,21,9,9,5,16,11,11,3,2,1,0,0,10,10,5,5,9,8,7,10,16,13,10,19,61,74,48,57,108,143,114,93,28,21,21,24,43,42,41,43,29,33,11,35,52,62,39,43,65,60,65,62,132,136,126,124,10,8,11,8,18,22,17,23,3,1,0,2,5,2,0,2,4.607120896,-7.976523264000001
Reims,Nimes,0,1,A,0,0,D,16,6,6,5,18,11,7,1,3,1,0,0,10,10,4,4,3,7,2,4,16,18,10,19,30,54,43,56,97,147,117,144,10,17,17,16,38,42,43,55,12,18,16,28,31,57,50,55,58,45,52,57,125,110,128,145,10,6,8,11,23,20,18,32,2,0,0,2,4,3,1,4,1.4258836479999988,-7.767184896000001
Angers,Lyon,0,1,A,0,0,D,20,5,8,2,12,12,8,3,2,3,0,0,10,10,5,5,5,8,6,6,15,20,17,10,62,47,80,54,121,110,180,108,21,23,25,20,42,50,55,35,23,20,27,22,43,46,73,48,77,77,57,71,119,140,132,134,17,11,11,12,27,20,26,25,1,1,2,1,1,1,3,2,2.5282903040000004,8.196703744
Lille,Lorient,4,0,H,1,0,H,31,7,13,2,10,11,9,4,1,3,0,0,10,10,5,5,9,2,6,9,17,7,12,17,65,48,48,60,135,97,99,129,23,13,14,24,50,29,33,44,32,18,27,22,53,43,49,39,67,68,74,76,139,137,157,130,7,13,6,11,21,26,21,20,1,4,0,2,1,4,0,3,3.7166638080000016,-5.001360896
Lens,Nantes,1,1,D,1,0,H,7,11,1,3,14,18,6,2,4,2,0,0,9,10,4,5,9,5,4,6,15,14,12,14,53,25,52,71,110,75,110,131,18,11,14,21,38,28,36,47,32,3,21,29,56,28,39,51,71,42,55,70,143,116,124,138,11,9,8,10,23,17,20,20,0,3,1,1,3,3,3,1,5.720901120000001,1.0746926079999999
Strasbourg,Rennes,1,1,D,1,0,H,6,21,3,7,11,12,2,7,0,0,1,0,11,11,5,5,3,9,9,7,13,23,18,15,66,36,64,49,123,114,161,108,20,19,21,24,46,52,45,44,28,8,22,23,42,54,63,44,61,62,69,81,137,140,141,160,6,15,10,10,18,25,23,22,0,0,1,1,0,2,2,2,-9.381218611200001,-1.8497985535999988
Marseille,Nantes,3,1,H,2,0,H,15,6,9,2,16,11,3,7,4,2,0,0,9,11,4,6,5,5,5,7,12,8,13,15,47,48,63,78,79,127,121,138,11,19,17,22,22,35,39,48,23,25,23,35,38,66,41,57,53,57,73,84,124,128,142,152,8,8,10,14,28,20,22,24,0,0,1,1,3,3,3,1,8.915310080000001,1.8597540864
Paris SG,Bordeaux,2,2,D,2,1,H,16,18,9,4,8,10,14,5,1,1,0,0,11,11,5,5,14,2,5,9,28,6,10,11,81,52,33,68,176,107,107,129,39,11,17,19,72,30,37,33,24,23,24,35,54,39,52,63,67,67,78,68,140,143,147,157,13,14,13,13,25,24,25,27,4,2,1,0,5,3,2,0,6.261958348800002,0.2810379263999998
Lyon,Reims,3,0,H,1,0,H,14,10,4,2,19,11,4,2,2,1,0,1,11,11,5,6,11,4,13,11,18,10,16,19,100,54,67,93,185,128,113,153,30,15,28,25,57,43,44,47,46,26,19,39,76,56,38,58,75,63,67,65,144,146,143,121,15,13,13,14,29,27,26,21,1,1,2,3,3,2,4,3,9.557362995200002,-1.8592930816000008
Lens,Angers,1,3,A,1,1,D,13,18,5,7,15,13,1,7,2,2,0,0,10,11,5,5,10,6,10,12,16,15,15,21,60,36,59,63,117,86,141,115,19,14,21,27,39,31,50,52,38,5,20,26,62,30,51,49,85,60,42,63,157,134,131,152,15,11,10,9,27,19,29,23,0,3,0,0,3,3,1,1,5.576720896,-0.9773677567999997
Lorient,Montpellier,0,1,A,0,0,D,8,16,2,3,13,14,2,4,2,1,0,0,11,11,5,5,6,8,7,5,12,21,20,16,51,69,47,69,106,160,129,152,19,20,15,21,35,57,52,47,22,17,23,29,53,48,63,65,83,54,67,76,168,140,148,147,15,9,8,14,24,21,20,23,0,1,2,1,0,3,5,2,-7.0010887168,6.6856967168
Metz,Brest,0,2,A,0,1,A,15,10,6,3,11,10,10,5,2,1,0,0,11,11,5,5,8,4,6,12,12,9,19,23,64,47,66,67,115,140,142,150,23,16,23,29,40,42,55,52,32,18,19,25,50,57,54,60,65,70,81,64,138,149,161,143,7,15,10,11,22,31,23,27,0,2,1,1,1,3,1,1,6.311837388800001,1.3194943488
Monaco,Nimes,3,0,H,1,0,H,18,6,5,2,16,9,8,3,1,1,0,1,11,11,6,5,15,8,3,4,20,16,11,19,104,44,49,72,175,102,123,160,33,16,22,22,52,38,48,61,45,14,17,35,80,37,51,62,68,81,63,75,147,136,139,163,13,11,9,14,30,20,19,35,2,2,0,2,3,3,1,4,6.3811902464,-3.213747916800001
Nice,Dijon,1,3,A,0,2,A,24,9,7,4,7,21,11,1,3,3,0,0,10,11,5,5,6,8,2,13,15,12,5,20,52,69,47,95,100,135,111,167,21,23,14,38,36,50,32,58,20,23,24,35,45,57,58,82,60,69,66,65,124,142,166,132,8,14,10,8,24,24,24,12,0,1,0,0,0,1,1,0,2.622872064,-5.2645338112000015
St Etienne,Lille,1,1,D,1,0,H,7,9,5,2,15,13,3,3,4,1,0,0,11,11,5,5,5,7,8,5,11,19,21,7,48,51,70,49,111,126,166,104,17,21,27,16,32,45,63,31,29,17,21,25,51,53,62,47,69,81,72,69,158,171,149,148,9,13,14,13,21,27,22,29,0,0,0,0,2,0,1,4,-10.4164645888,5.973331046400002
Nimes,Marseille,0,2,A,0,0,D,7,17,0,4,11,18,1,8,3,4,1,1,12,10,6,5,8,15,7,3,11,22,15,9,74,88,32,79,129,178,94,133,26,39,11,16,50,66,31,37,34,27,15,41,54,70,41,73,76,88,71,71,148,179,140,139,10,21,20,12,20,36,32,22,1,2,3,3,2,4,3,3,-5.57099833344,10.132248064000002
Rennes,Lens,0,2,A,0,1,A,10,6,4,4,18,16,8,3,1,3,0,0,12,11,6,5,9,8,6,9,19,16,17,18,97,59,57,50,182,114,130,104,24,20,20,17,52,47,44,38,41,21,24,25,70,46,63,37,72,79,72,74,153,171,172,147,13,12,12,8,23,22,29,21,1,1,3,0,2,3,3,3,-0.4798388428799991,1.4613767168000003
Montpellier,Paris SG,1,3,A,1,1,D,17,13,2,6,12,14,3,3,1,3,0,0,12,12,6,6,13,11,14,4,21,16,30,8,82,83,95,55,145,160,192,125,37,26,33,19,55,49,81,34,40,36,30,16,67,67,68,44,81,71,73,76,162,160,148,153,12,9,12,10,21,25,26,25,3,1,1,1,5,2,5,3,8.34855737344,6.009566679040002
Lille,Monaco,2,1,H,0,0,D,10,8,5,3,12,11,1,3,3,0,0,0,12,12,6,5,13,2,5,8,22,8,23,16,96,55,71,58,175,111,193,108,36,15,19,22,65,36,57,40,41,22,35,23,65,50,88,40,77,79,79,55,162,163,163,145,8,16,17,9,23,33,31,21,1,4,1,1,1,4,3,4,5.778664837120002,8.10495219712
Angers,Lorient,2,0,H,1,0,H,10,12,3,3,13,11,2,12,3,0,0,0,12,12,6,6,5,9,6,13,18,22,12,22,82,52,55,91,159,128,114,176,29,25,16,37,57,57,37,60,31,23,31,31,58,50,55,52,89,89,85,86,144,167,181,154,19,14,9,12,31,25,26,22,1,1,0,2,1,1,0,3,2.2181057945600005,-8.60087097344
Bordeaux,Brest,1,0,H,0,0,D,21,8,6,3,10,11,8,2,0,3,0,0,12,12,6,6,5,2,8,12,12,13,21,23,74,61,76,82,125,145,152,165,20,14,26,35,41,42,58,58,28,28,24,35,57,77,59,70,69,89,91,75,157,165,171,154,12,14,11,13,26,28,24,29,1,0,1,1,2,0,1,1,1.2248303411199999,4.05559547904
Dijon,St Etienne,0,0,D,0,0,D,6,7,1,2,15,13,7,4,0,1,0,0,12,12,6,6,3,7,6,12,8,21,12,20,64,72,63,75,120,191,118,135,18,20,15,24,36,65,37,47,34,47,22,36,59,93,54,56,100,67,89,90,187,139,173,184,14,4,12,14,27,15,25,28,1,0,2,0,1,0,2,0,-1.2116270489600014,-7.333171671040001
Nantes,Strasbourg,0,4,A,0,2,A,14,13,2,9,13,13,7,3,3,2,0,0,12,12,5,6,8,8,10,14,14,18,14,24,58,60,57,78,127,153,129,135,22,26,26,33,41,57,49,59,18,22,14,46,48,60,44,61,69,68,76,78,153,168,148,152,12,10,12,10,24,28,18,25,2,0,0,2,3,1,1,2,-1.51219673088,-6.504974888960001
Reims,Nice,0,0,D,0,0,D,11,12,2,4,12,13,6,6,1,2,0,0,12,11,5,5,3,8,9,4,16,22,16,15,46,60,48,66,123,167,124,144,16,22,15,27,46,51,43,54,19,19,25,34,40,62,56,58,76,56,64,73,154,140,131,163,13,7,16,10,27,23,27,27,2,0,0,0,5,3,0,1,-4.487434465280001,-0.9017023487999998
Metz,Lyon,1,3,A,0,1,A,12,18,5,5,14,14,5,6,1,0,1,1,12,12,6,6,8,6,7,6,12,11,21,10,79,57,85,74,130,150,199,138,29,19,27,28,46,45,61,45,42,23,30,30,60,62,80,58,76,80,69,83,149,159,163,157,9,16,14,14,24,32,31,28,0,2,2,1,1,3,3,3,2.049469911040001,10.645890396160002
St Etienne,Angers,0,0,D,0,0,D,14,8,3,3,16,15,5,6,3,3,0,0,13,13,6,6,6,8,13,13,12,20,20,22,55,60,77,76,125,141,169,140,22,23,28,32,39,48,60,60,32,20,27,27,58,63,60,62,84,94,55,78,186,199,157,178,13,14,12,11,26,28,34,25,0,0,0,0,2,0,1,1,-4.866537336832001,4.774484635648
Marseille,Monaco,2,1,H,2,0,H,5,9,2,4,22,10,1,3,3,2,0,0,11,13,5,6,8,6,6,10,17,9,24,18,62,54,79,68,111,140,201,118,20,21,22,27,35,37,60,45,26,32,38,24,49,74,91,41,69,68,90,67,158,150,174,157,12,10,17,12,36,25,31,24,0,0,1,1,4,4,3,4,11.105798451200002,3.483961757696
Lens,Montpellier,2,3,A,1,2,A,14,10,4,7,11,14,6,4,1,1,0,0,12,13,6,6,11,9,8,5,19,18,22,19,73,54,63,77,136,114,162,173,24,21,18,23,48,42,57,55,39,12,27,31,66,45,70,70,100,73,81,89,188,165,174,174,17,13,9,16,32,22,22,28,0,3,2,1,3,3,5,2,4.16910137344,3.6788458987520007
Nice,Rennes,0,1,A,0,1,A,11,16,3,6,16,10,3,6,2,1,0,0,12,13,6,6,7,11,10,8,16,15,19,18,76,78,85,55,136,155,192,120,28,27,28,27,47,56,56,51,31,24,29,25,62,64,78,49,67,90,81,92,144,175,171,187,11,17,10,10,29,28,24,25,0,1,1,2,0,1,2,3,0.2786381209600002,-3.3838710743039995
Brest,Reims,2,1,H,1,0,H,10,10,6,4,12,11,3,4,1,1,0,0,13,13,6,7,13,11,13,14,21,24,16,22,76,83,77,107,160,186,134,179,32,23,30,29,61,64,48,55,35,35,21,43,61,78,46,68,80,79,78,84,182,164,166,153,13,16,14,16,27,29,28,25,0,0,3,3,1,1,5,3,0.24447638323200005,-2.5899475722240006
Lorient,Nimes,3,0,H,2,0,H,13,6,5,2,18,7,2,3,2,0,0,0,13,13,6,6,6,9,3,7,12,24,11,24,59,85,55,90,126,186,136,195,21,23,24,27,40,63,50,70,24,21,20,43,67,54,55,78,96,68,72,91,192,167,159,197,17,10,10,15,26,25,23,40,0,1,1,2,0,3,3,5,-9.880696778752,-7.456798666752
Nantes,Dijon,1,1,D,1,0,H,17,13,6,4,11,16,4,4,2,2,0,0,13,13,6,6,8,12,5,14,14,22,8,21,72,73,56,119,141,166,126,198,24,35,18,45,43,66,37,67,25,25,25,46,55,63,66,97,82,81,87,72,166,181,202,152,15,12,13,11,27,30,27,16,2,0,0,0,3,1,1,0,-4.209757384704,0.03069836083199884
Strasbourg,Metz,2,2,D,0,1,A,18,6,4,3,11,16,5,4,3,4,0,0,13,13,6,6,4,10,4,5,18,24,13,14,72,57,51,93,142,149,142,168,23,26,17,26,58,61,51,50,30,15,18,39,47,68,65,68,72,74,73,79,161,165,163,173,6,15,15,16,20,28,25,32,1,0,1,1,1,2,2,4,-2.203979911168002,-1.3604240711679991
Lille,Bordeaux,2,1,H,2,1,H,15,4,5,3,14,10,8,3,0,2,0,0,13,13,7,6,15,3,7,11,24,9,13,13,106,63,51,84,185,119,146,153,41,18,21,28,70,39,47,45,42,25,29,49,66,53,65,79,89,90,88,76,174,174,167,176,11,16,14,14,26,33,26,31,1,4,1,0,1,4,2,0,7.622931869696002,3.979864272896
Paris SG,Lyon,0,1,A,0,1,A,7,8,1,5,11,17,5,5,4,1,0,1,13,13,6,7,16,4,10,7,33,9,24,11,97,70,103,86,205,142,217,150,48,15,32,33,87,36,66,50,38,28,36,35,71,47,86,63,75,77,83,97,162,165,177,171,14,15,14,15,29,26,31,29,4,2,3,2,5,3,4,4,7.807653343232002,11.516712316928002
Angers,Strasbourg,0,2,A,0,0,D,8,7,2,3,9,11,6,2,1,2,0,0,14,14,7,7,7,9,14,14,20,22,20,26,92,64,70,92,177,154,160,155,32,28,35,35,63,63,62,64,33,35,17,53,66,67,52,72,102,100,89,91,172,194,172,181,22,14,14,13,37,28,23,32,1,1,0,2,1,1,1,2,4.8195877085184,-0.7631839289344016
Dijon,Lille,0,2,A,0,1,A,6,10,1,5,21,8,5,4,0,0,0,0,14,14,7,6,3,7,9,6,9,22,26,10,70,79,79,56,139,215,200,123,19,22,29,21,41,73,75,42,41,51,24,28,70,101,74,56,115,80,85,84,218,163,188,184,14,5,15,17,29,18,26,35,1,0,0,0,1,0,1,4,1.024558688665599,9.098345495756803
Montpellier,Metz,0,2,A,0,0,D,14,9,3,5,11,9,10,2,3,3,0,0,14,14,7,7,14,14,6,7,25,21,15,16,99,96,57,111,172,187,148,186,39,32,20,30,64,59,54,54,43,39,22,44,74,76,69,73,93,85,89,90,188,185,179,184,13,12,19,19,23,29,29,35,3,1,1,1,5,2,2,4,5.943076719001601,-0.08833925693439926
Nimes,Nice,0,2,A,0,0,D,15,14,4,6,8,10,4,5,1,2,0,1,14,13,7,6,8,17,9,4,11,27,16,16,81,105,60,77,142,208,147,171,26,43,19,29,52,75,50,62,35,35,31,40,58,80,65,70,87,106,77,85,166,215,160,185,13,25,18,11,23,42,31,29,2,3,0,0,3,5,0,1,-8.9654389334016,-2.7770895032319998
Reims,Nantes,3,2,H,0,1,A,13,18,4,7,13,13,3,6,2,2,0,0,14,14,6,7,3,8,6,10,17,24,15,23,57,72,69,93,144,189,158,179,18,26,19,31,52,61,49,70,25,25,30,38,50,71,59,67,88,69,84,100,177,165,177,197,14,9,12,18,29,26,29,32,2,0,1,1,5,3,3,1,-5.0719580577792005,-2.3678059077632003
Bordeaux,St Etienne,1,2,A,1,1,D,11,19,3,8,12,14,3,4,3,2,0,0,14,14,7,7,6,2,6,12,14,15,12,20,95,69,70,81,150,168,139,149,26,17,17,25,50,50,42,51,36,30,26,43,68,87,63,69,79,100,102,105,177,190,202,214,12,17,13,14,28,31,29,31,1,0,2,0,2,0,2,0,0.18389141831680034,-2.8932298694656007
Lyon,Brest,2,2,D,0,1,A,28,8,11,2,13,5,12,3,3,0,0,1,14,14,6,7,14,4,8,13,25,11,23,25,114,64,84,103,225,157,170,196,34,17,29,41,71,51,67,68,50,28,26,43,91,68,64,82,94,74,102,85,194,182,194,175,17,14,14,13,32,33,28,30,1,2,1,1,5,4,1,1,12.213369853542401,3.1955811065856
Monaco,Lens,0,3,A,0,3,A,7,8,1,4,8,17,3,3,2,4,1,0,14,13,7,6,18,8,8,9,25,20,21,21,122,50,63,60,210,123,150,124,38,18,24,21,64,47,52,49,53,17,27,33,94,42,72,49,84,90,88,92,184,179,199,179,14,12,15,9,33,27,33,23,2,3,3,0,3,4,3,3,-0.2128305938431998,0.3352810987520005
