HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,P1,P2,HM,AM,THG,THGA,TAG,TAGA,TG1,TGA1,TG2,TGA2,THS,THSA,TAS,TASA,TS1,TSA1,TS2,TSA2,THST,THSTA,TAST,TASTA,TST1,TSTA1,TST2,TSTA2,THC,THCA,TAC,TACA,TC1,TCA1,TC2,TCA2,THF,THFA,TAF,TAFA,TF1,TFA1,TF2,TFA2,THY,THYA,TAY,TAYA,TY1,TYA1,TY2,TYA2,THR,THRA,TAR,TARA,TR1,TRA1,TR2,TRA2,LG1,LG2
Angers,Bordeaux,0,2,A,0,2,A,12,7,2,7,12,19,5,7,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12,9,5,6,0,0,0,0,4,1,1,1,0,0,0,0,9,3,2,3,0,0,0,0,8,15,10,15,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,3.0,1.0
Metz,Monaco,0,1,A,0,1,A,14,3,4,2,14,20,10,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,22,9,0,0,0,0,0,0,5,3,0,0,0,0,0,0,8,1,0,0,0,0,0,0,8,14,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0.0,1.0
Nantes,Nimes,2,1,H,2,0,H,8,17,5,9,16,9,4,8,3,2,2,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,5,12,10,0,0,0,0,1,1,5,3,0,0,0,0,3,2,4,4,0,0,0,0,15,10,14,17,0,0,0,0,3,2,2,3,0,0,0,0,0,1,0,1,1.0,3.0
St Etienne,Lorient,2,0,H,1,0,H,13,6,5,1,14,23,2,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,10,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,17,10,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0.0,3.0
Brest,Marseille,2,3,A,1,2,A,19,7,4,4,17,13,10,2,2,4,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,10,12,0,0,0,0,0,0,3,5,0,0,0,0,0,0,4,4,0,0,0,0,0,0,17,14,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,-3.0,0.0
Lens,Paris SG,1,0,H,0,0,D,7,8,3,1,21,10,4,2,2,2,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,17,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,7,1,0,0,0,0,0,0,18,17,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,-3.0,0.0
Bordeaux,Lyon,0,0,D,0,0,D,5,20,0,3,12,19,4,5,2,3,0,0,2,1,1,0,0,0,0,0,2,0,4,1,5,6,0,0,12,18,27,6,1,1,0,0,8,3,12,2,2,3,0,0,9,8,13,2,10,15,0,0,29,27,12,7,2,3,0,0,5,4,3,3,1,0,0,0,1,0,0,0,3.8,3.0
Montpellier,Nice,3,1,H,1,0,H,20,9,13,1,17,16,8,9,0,2,0,0,1,2,0,1,0,0,2,0,1,2,4,1,0,0,3,6,11,16,7,23,0,0,2,0,3,7,4,4,0,0,1,3,1,2,2,10,0,0,11,14,16,18,28,32,0,0,6,2,2,3,8,5,0,0,0,0,1,1,0,0,-3.0,5.4
St Etienne,Strasbourg,2,0,H,0,0,D,10,14,4,7,13,19,6,3,1,3,0,0,1,2,1,1,2,0,1,3,2,0,1,5,13,6,7,10,13,6,13,13,5,1,1,7,5,1,1,9,2,5,1,6,2,5,4,7,14,23,10,17,14,23,24,28,2,1,2,3,2,1,4,9,0,0,0,0,0,0,0,0,3.0,-5.4
Lille,Metz,1,0,H,0,0,D,16,5,6,1,12,14,8,3,4,4,0,0,2,1,1,0,1,1,0,0,2,1,0,1,5,16,0,0,15,20,14,3,1,3,0,0,4,3,4,2,4,2,0,0,6,3,10,1,12,16,0,0,23,36,14,20,0,1,0,0,1,5,0,5,1,1,0,0,1,1,0,1,3.8,-3.0
Angers,Reims,1,0,H,0,0,D,20,7,7,2,12,12,1,2,4,2,1,1,2,2,1,1,0,2,2,2,1,2,2,3,12,7,9,22,24,16,13,32,2,7,3,5,6,8,3,8,5,7,1,8,14,10,2,10,12,19,14,8,20,34,34,19,1,3,3,1,1,3,7,2,0,0,0,0,0,0,0,0,-0.5999999999999996,-2.2
Dijon,Brest,0,2,A,0,1,A,7,19,3,5,16,16,5,7,2,0,1,0,2,2,1,1,0,1,0,4,1,5,2,7,9,12,10,12,15,39,29,19,1,4,3,5,3,16,7,9,3,9,4,4,5,22,14,6,15,8,17,14,22,20,34,27,0,0,3,2,3,3,5,6,0,0,1,0,0,0,1,0,-5.4,-5.4
Lorient,Lens,2,3,A,1,2,A,6,12,3,6,20,16,4,2,4,3,0,1,2,2,1,1,3,1,1,2,3,3,2,2,10,7,17,4,16,20,24,12,7,1,4,2,8,6,7,3,6,1,7,1,11,3,11,3,17,10,18,17,40,24,39,27,3,2,3,2,4,4,5,4,0,0,0,0,0,0,0,0,-0.5999999999999996,0.5999999999999996
Nimes,Rennes,2,4,A,1,2,A,17,10,9,6,17,13,8,4,2,6,0,0,2,2,1,1,4,0,1,1,5,2,3,2,12,10,16,5,29,18,32,16,5,3,3,1,14,8,10,4,4,4,2,4,12,8,4,5,14,17,16,12,23,33,34,28,2,3,1,0,4,6,4,2,0,1,1,1,0,3,2,2,-0.5999999999999996,3.8
Monaco,Nantes,2,1,H,1,0,H,18,7,5,2,14,11,9,4,3,1,0,0,2,2,1,1,2,2,0,0,3,2,2,1,22,9,6,5,25,23,14,22,5,3,1,1,7,7,6,10,8,1,3,2,9,11,7,10,8,14,15,10,28,28,31,19,1,3,3,2,6,3,6,4,0,0,0,1,1,0,2,1,3.8,3.8
Paris SG,Marseille,0,1,A,0,1,A,14,5,4,2,17,19,4,2,6,8,3,2,1,1,0,1,0,0,3,2,0,1,3,2,0,0,7,19,8,7,7,19,0,0,4,4,1,3,4,4,0,0,2,10,2,4,2,10,0,0,13,17,10,21,13,17,0,0,4,2,2,2,4,2,0,0,0,0,0,0,0,0,-3.0,3.0
Montpellier,Lyon,2,1,H,1,0,H,10,19,3,7,13,13,4,11,3,2,1,1,2,2,1,1,3,1,0,0,4,3,4,1,20,9,20,5,31,25,47,11,13,1,3,0,16,8,15,2,8,9,5,4,9,11,18,6,17,16,19,12,33,34,31,19,0,2,3,2,2,5,6,5,0,0,0,0,1,1,0,0,0.5999999999999996,3.4000000000000004
Paris SG,Metz,1,0,H,0,0,D,20,7,8,1,8,6,8,2,3,2,1,0,2,2,1,1,0,1,0,1,0,2,0,2,14,5,5,16,22,12,19,19,4,2,1,6,5,5,5,8,4,2,3,8,6,6,13,9,17,19,14,12,27,40,28,32,6,8,4,4,8,10,4,9,3,2,0,0,3,2,0,1,-5.4,-5.4
Marseille,St Etienne,0,2,A,0,1,A,13,12,2,5,13,15,7,6,2,2,0,0,2,2,0,0,0,0,0,0,4,2,4,0,0,0,0,0,12,33,23,20,0,0,0,0,6,8,9,8,0,0,0,0,4,14,8,8,0,0,0,0,32,34,27,42,0,0,0,0,12,8,3,4,0,0,0,0,2,3,0,0,5.4,5.4
Lyon,Nimes,0,0,D,0,0,D,16,10,3,3,18,12,9,2,3,2,0,0,3,3,1,1,4,1,1,2,5,3,7,6,27,6,17,8,66,21,46,28,12,2,9,5,22,5,23,14,13,2,8,4,29,10,20,12,12,7,9,16,44,32,40,46,3,3,2,3,8,8,6,12,0,0,0,2,1,1,0,3,-0.27999999999999936,-3.4799999999999995
Lens,Bordeaux,2,1,H,0,0,D,19,7,5,3,15,15,7,0,5,5,0,1,3,3,1,1,1,0,2,0,5,4,2,0,7,8,7,12,36,18,17,38,3,1,7,2,13,6,8,6,4,2,7,5,13,7,13,13,21,10,19,12,55,47,41,46,2,2,3,1,8,8,7,7,0,0,0,0,1,0,1,0,3.4799999999999995,4.04
Rennes,Monaco,2,1,H,0,1,A,14,14,3,2,11,11,9,10,1,2,0,0,3,3,1,1,2,1,1,0,7,4,5,3,16,11,3,14,42,33,43,30,7,3,2,4,16,13,12,9,2,1,1,10,8,13,18,15,18,16,20,14,47,45,42,39,3,2,5,0,10,4,9,4,1,1,1,0,2,2,1,0,6.04,6.04
Nice,Paris SG,0,3,A,0,2,A,14,14,5,6,9,9,4,7,1,2,0,0,3,3,1,1,2,1,0,1,5,4,1,2,4,17,8,7,16,43,42,19,2,4,1,3,5,17,13,6,1,7,2,4,11,18,14,8,17,18,10,21,44,49,35,46,2,3,2,2,10,5,11,12,0,0,0,0,0,0,4,2,1.3200000000000003,-1.3200000000000003
Brest,Lorient,3,2,H,2,1,H,14,9,6,4,20,13,4,6,2,1,0,0,3,3,1,1,2,3,0,2,4,7,5,6,19,7,6,13,48,26,22,32,4,4,1,5,12,12,11,12,10,2,5,2,21,11,15,5,17,13,23,14,50,43,60,40,2,4,1,2,5,8,8,7,0,0,0,0,1,1,0,1,-1.3200000000000003,-3.4799999999999995
Metz,Reims,2,1,H,1,1,D,14,10,4,4,14,7,8,5,1,4,0,1,3,3,1,2,0,1,2,3,0,3,2,4,14,3,16,42,26,39,20,52,4,2,5,12,6,16,5,15,10,1,3,9,15,17,4,11,14,20,26,20,34,40,46,31,0,5,5,5,6,12,9,6,0,1,1,1,0,2,1,1,-7.32,-4.76
Montpellier,Angers,4,1,H,2,1,H,14,14,9,3,14,5,6,3,4,3,0,0,3,3,2,1,5,2,1,0,6,4,2,2,30,28,12,9,41,44,44,23,16,8,4,1,19,15,13,10,12,20,9,3,13,22,15,12,30,29,8,15,46,47,32,46,3,4,0,0,5,7,5,5,1,1,0,0,2,2,1,1,3.4799999999999995,2.5200000000000005
Strasbourg,Dijon,1,0,H,0,0,D,17,6,6,2,10,16,8,2,1,1,0,0,3,3,1,1,0,2,1,4,1,7,1,7,6,3,6,27,27,23,22,58,0,2,2,12,8,13,6,21,3,1,2,13,7,13,10,29,14,11,7,12,43,41,38,36,2,6,3,3,7,10,5,3,0,0,0,0,0,0,1,0,-7.32,-7.32
Nantes,St Etienne,2,2,D,0,1,A,15,6,3,4,12,17,4,2,2,2,0,0,3,3,1,1,2,1,2,0,3,3,6,0,8,17,12,13,21,40,35,33,5,9,5,2,8,15,14,10,4,8,6,7,11,19,14,15,16,9,15,13,42,33,42,55,3,2,2,2,7,7,5,6,2,0,0,0,2,1,0,0,0.040000000000000036,7.32
Marseille,Lille,1,1,D,0,0,D,11,14,2,7,12,18,5,4,3,3,0,0,3,3,1,1,0,2,1,0,4,4,3,1,13,12,10,4,25,45,31,25,2,5,3,0,8,13,10,4,7,6,2,1,11,20,14,6,13,15,11,20,45,49,35,50,2,2,1,4,14,10,5,9,0,0,0,0,2,3,1,1,1.3200000000000003,6.04
Lille,Nantes,2,0,H,1,0,H,12,12,4,6,16,12,4,7,0,2,0,0,4,4,2,2,2,1,1,2,4,2,5,5,21,21,13,23,45,36,36,46,7,4,3,6,17,6,11,19,12,5,7,11,18,11,15,21,24,30,26,24,53,62,54,50,4,5,4,5,8,12,9,9,1,1,0,1,1,1,2,1,5.832000000000001,1.032
St Etienne,Rennes,0,3,A,0,1,A,6,10,4,6,11,12,6,4,1,1,0,0,4,4,2,2,4,0,5,3,8,2,9,5,23,20,26,22,41,48,56,47,9,8,9,10,18,13,19,15,8,8,6,12,16,19,17,23,27,42,29,29,59,67,58,56,3,4,7,2,7,8,11,6,0,0,1,1,0,0,2,2,6.856000000000001,7.832000000000001
Marseille,Metz,1,1,D,0,0,D,17,14,3,3,15,11,5,5,0,2,0,0,4,4,2,2,1,3,0,2,5,5,2,4,24,26,12,36,36,59,40,49,4,12,2,14,10,20,10,20,12,10,5,16,16,24,23,22,25,33,20,20,57,67,48,47,5,5,6,7,17,13,7,16,0,0,0,1,2,3,0,3,2.056,-2.8560000000000008
Bordeaux,Nice,0,0,D,0,0,D,18,13,5,2,9,15,7,7,1,1,0,0,4,4,2,2,0,0,3,3,3,2,5,7,10,26,12,26,24,57,30,57,1,4,3,13,11,11,10,23,6,8,10,11,13,20,15,25,22,34,27,31,56,61,53,58,4,6,8,2,12,12,11,7,1,0,0,0,2,0,0,0,0.2320000000000002,-1.9439999999999997
Angers,Brest,3,2,H,1,2,A,12,14,5,6,17,21,6,1,3,2,0,0,4,4,2,2,1,2,2,4,3,6,7,9,32,14,29,19,58,37,62,35,9,9,8,8,16,19,18,16,6,9,11,9,18,18,25,17,24,31,33,30,37,60,70,56,5,5,3,4,8,9,7,9,1,1,1,1,1,1,1,1,-0.9839999999999995,1.9439999999999997
Dijon,Montpellier,2,2,D,1,0,H,15,14,6,5,15,11,6,13,4,1,0,0,4,4,2,1,0,3,1,2,1,8,10,5,16,31,11,16,28,75,55,58,4,9,3,7,8,27,28,18,8,16,1,2,12,37,19,25,31,24,16,18,54,46,60,52,2,0,2,3,6,4,9,10,1,0,1,1,1,0,2,2,-8.856000000000002,5.784
Monaco,Strasbourg,3,2,H,2,0,H,11,11,5,5,11,12,6,2,3,1,2,0,4,4,2,2,4,3,1,5,6,5,2,7,40,16,21,20,57,44,44,29,10,5,8,11,14,12,14,15,17,5,4,12,28,24,15,15,22,25,29,30,53,50,53,57,4,4,5,4,11,5,8,11,0,0,0,0,1,0,0,0,1.8320000000000007,-2.8560000000000008
Nimes,Lens,1,1,D,0,1,A,13,15,4,6,10,16,5,7,0,3,0,0,4,4,2,2,6,4,4,4,7,6,7,5,29,20,29,10,56,44,55,25,14,9,10,5,26,17,18,9,12,8,9,5,22,21,20,7,31,30,34,37,52,64,70,62,4,9,6,6,8,15,13,13,0,1,1,0,0,3,1,1,-1.7839999999999998,5.784
Lorient,Lyon,1,1,D,0,0,D,4,19,2,6,19,7,1,5,2,0,0,0,4,4,2,2,5,4,1,2,7,9,5,3,16,19,39,15,31,46,82,31,10,7,10,3,15,18,25,8,10,3,16,8,21,9,38,12,37,26,32,25,73,60,62,44,7,5,5,5,9,9,11,10,0,1,1,1,0,1,1,1,-5.784,0.7760000000000005
Reims,Paris SG,0,2,A,0,1,A,8,21,3,7,11,10,3,7,2,2,0,0,4,4,1,2,0,1,3,1,3,6,4,2,4,10,22,21,30,66,56,33,0,3,7,8,9,19,19,11,1,2,9,8,9,19,21,12,20,11,19,30,53,45,44,55,4,1,4,3,13,7,13,13,0,0,0,0,2,1,4,2,-6.808,1.9439999999999997
Paris SG,Angers,6,1,H,2,0,H,18,8,12,2,11,9,6,2,1,2,0,0,5,5,2,2,1,1,2,4,6,2,6,8,34,12,26,23,77,41,70,51,12,3,7,10,26,14,21,25,12,4,12,9,28,15,24,19,25,25,13,29,54,66,54,81,9,10,3,4,15,15,11,11,4,2,0,0,4,2,1,1,4.5552,2.2128000000000005
Lens,St Etienne,2,0,H,1,0,H,13,2,5,1,23,10,12,0,1,1,0,2,5,5,2,2,3,1,4,2,8,6,8,5,26,15,18,28,70,38,47,58,8,4,9,5,24,13,22,19,11,2,8,11,27,12,22,23,36,25,32,25,86,72,70,79,7,7,4,4,16,13,8,9,0,1,0,0,1,1,0,0,5.6272,2.484800000000001
Nice,Nantes,2,1,H,1,1,D,18,11,7,1,13,8,9,2,2,1,0,1,5,5,2,3,2,4,1,4,5,7,5,7,18,31,25,35,43,75,48,58,7,10,9,10,12,28,17,23,5,14,14,15,22,32,22,25,26,27,38,40,68,67,66,66,3,5,6,5,12,8,11,9,0,0,0,1,0,0,2,1,-0.5551999999999999,-2.1744
Montpellier,Nimes,0,1,A,0,0,D,12,8,2,1,14,15,8,2,2,1,0,0,5,5,3,2,9,3,1,2,12,7,8,7,44,42,27,24,69,73,69,59,25,11,12,8,33,24,30,23,18,23,10,13,32,31,27,28,44,34,21,34,71,67,62,80,7,7,4,6,10,14,8,18,1,1,0,2,2,2,0,3,5.6272,-0.4272
Bordeaux,Dijon,3,0,H,2,0,H,17,5,7,1,15,14,5,4,2,3,0,0,5,5,3,2,0,0,1,5,3,2,3,10,28,39,12,44,42,70,43,89,6,6,4,18,16,13,14,32,13,15,4,21,20,27,18,50,31,49,23,22,65,76,69,57,5,7,4,4,13,13,10,5,1,0,0,0,2,0,1,0,1.1856000000000002,-6.084800000000001
Brest,Monaco,1,0,H,1,0,H,7,21,5,2,10,17,1,8,3,4,0,0,5,5,2,2,5,5,2,2,9,12,9,7,33,16,17,28,76,47,68,55,10,8,4,7,24,21,19,17,14,8,11,19,26,23,34,26,37,26,31,25,91,73,64,62,4,5,7,1,9,12,14,6,0,0,1,0,1,1,3,0,-1.4448,4.4656
Metz,Lorient,3,1,H,1,1,D,16,10,8,4,10,14,4,3,1,2,0,0,5,5,2,2,2,2,2,5,3,5,8,10,28,13,15,27,54,66,35,65,8,6,5,11,13,23,17,24,18,6,11,6,28,27,22,14,28,27,36,34,59,62,92,67,1,9,2,4,9,16,11,9,0,2,0,0,0,3,0,1,-1.2848000000000006,-3.6272
Strasbourg,Lille,0,3,A,0,1,A,14,12,3,6,11,10,11,1,1,1,0,0,5,5,2,2,1,2,2,1,4,10,6,2,23,9,24,15,55,40,57,48,6,4,10,2,19,20,21,12,11,3,6,6,17,21,22,18,24,27,29,32,65,68,69,74,3,7,4,7,9,14,8,14,0,0,0,0,0,2,1,1,-5.284800000000001,7.6656
Rennes,Reims,2,2,D,2,1,H,18,9,3,4,12,16,10,2,4,3,0,0,5,5,2,3,4,2,3,5,12,5,3,8,30,25,26,56,66,53,38,87,10,5,9,16,25,19,12,26,11,11,8,17,21,29,12,26,29,27,33,34,70,67,64,55,4,4,9,6,12,7,15,9,1,1,2,1,2,2,2,1,9.265600000000001,-8.4464
Lyon,Marseille,1,1,D,1,1,D,24,4,3,1,14,10,19,5,1,1,0,1,5,5,2,2,4,1,4,2,6,4,6,6,43,16,12,33,101,35,53,73,15,5,6,8,31,10,13,23,22,4,4,14,43,13,21,29,30,19,32,34,69,63,72,78,6,5,12,8,11,12,17,15,0,0,2,3,1,1,2,3,1.6208000000000005,2.6448
Dijon,Rennes,1,1,D,0,1,A,12,12,4,3,22,13,3,5,4,2,0,0,6,6,3,3,2,5,8,3,3,13,14,7,31,45,36,28,48,106,84,62,10,14,15,14,15,39,28,23,14,29,10,18,22,55,31,31,46,35,41,40,83,72,82,83,6,1,8,3,13,7,16,10,1,0,1,1,1,0,2,2,-7.867840000000001,8.412480000000002
Nimes,Paris SG,0,4,A,0,1,A,5,30,2,11,10,12,1,9,1,2,1,0,6,6,3,3,7,5,5,1,9,7,12,3,42,35,43,29,77,71,95,49,18,15,14,11,31,25,38,16,17,15,16,11,29,36,34,17,41,46,29,41,77,94,65,75,4,12,6,5,9,20,16,17,0,1,0,0,0,3,4,2,2.65824,6.64416
Reims,Lorient,1,3,A,1,0,H,6,14,3,4,14,11,3,6,4,1,2,0,6,6,2,3,0,3,3,8,5,10,9,13,12,31,25,43,47,105,45,81,3,10,9,19,16,29,21,32,4,9,14,10,14,36,25,18,31,21,50,44,80,67,106,77,6,3,4,5,18,13,13,10,0,0,0,0,2,1,0,1,-5.7571200000000005,-5.90176
Marseille,Bordeaux,3,1,H,1,0,H,6,8,4,4,13,13,6,10,3,1,0,0,6,6,3,2,2,4,3,2,7,7,6,2,41,40,14,31,57,97,59,75,7,15,10,7,14,26,23,14,17,15,7,12,26,48,25,31,40,44,34,27,82,92,80,90,5,7,8,6,18,16,15,16,0,0,1,0,3,3,2,0,3.11584,3.94848
Strasbourg,Lyon,2,3,A,1,3,A,20,14,9,8,13,8,4,2,2,3,0,0,6,6,3,3,1,5,2,3,4,13,7,5,37,21,58,19,69,52,125,39,9,10,16,5,22,26,34,11,22,4,21,9,28,22,62,18,35,37,39,44,76,78,83,73,4,8,5,7,10,15,12,13,0,0,1,1,0,2,1,2,-7.2278400000000005,2.2966400000000005
Angers,Metz,1,1,D,1,1,D,7,7,2,3,18,13,2,5,4,2,0,0,6,6,3,3,4,4,1,3,7,14,6,6,44,28,26,53,78,69,70,76,14,15,5,17,23,37,21,27,12,10,10,21,26,25,32,30,41,52,31,35,63,92,69,76,8,7,8,7,13,12,10,18,1,1,0,1,1,1,0,3,-1.2297599999999995,1.9721599999999995
Monaco,Montpellier,1,1,D,0,0,D,21,3,7,2,13,13,10,2,2,1,0,1,6,6,3,2,7,5,3,4,9,8,12,8,51,27,25,31,89,62,81,81,15,10,8,13,21,22,35,25,23,7,14,8,42,27,40,33,33,37,27,33,81,72,85,82,7,5,3,7,18,9,12,15,2,0,1,1,3,0,2,2,0.5724800000000005,1.50176
Nantes,Brest,3,1,H,2,0,H,12,14,8,5,15,15,2,6,3,2,0,0,6,6,2,3,4,3,4,7,6,9,10,12,23,23,43,31,59,76,83,68,8,13,14,13,18,30,29,23,8,10,12,15,24,34,27,31,28,26,54,47,74,79,101,90,5,4,5,7,12,11,12,16,2,0,1,1,3,1,1,1,-4.73952,1.8441599999999998
St Etienne,Nice,1,3,A,0,2,A,11,11,4,5,15,10,7,3,2,5,0,0,6,6,3,3,4,3,3,3,8,7,7,8,29,30,25,44,49,71,61,86,13,14,5,18,23,24,19,29,14,12,17,18,22,35,31,34,38,54,42,40,80,102,81,75,4,5,9,3,9,10,14,9,0,0,0,0,2,0,0,1,-1.0121599999999993,2.55584
Lille,Lens,4,0,H,1,0,H,17,7,6,2,13,16,7,2,0,3,0,2,6,6,3,3,4,1,5,5,9,2,10,6,33,33,44,23,69,62,83,40,11,10,16,9,27,15,29,14,16,12,16,10,23,29,39,12,40,42,50,47,79,85,109,82,4,7,9,6,9,15,17,14,1,1,1,0,1,1,1,3,9.132480000000001,7.50176
Rennes,Angers,1,2,A,1,1,D,11,10,1,4,11,5,5,4,2,0,0,0,7,7,3,3,6,4,3,10,15,8,8,15,48,34,34,41,96,74,85,76,13,9,9,22,31,27,25,40,21,13,14,15,36,34,28,30,41,43,22,40,95,105,81,105,8,7,5,5,18,14,17,14,1,1,0,0,2,2,1,1,7.729984000000002,0.016192000000000317
Lorient,Marseille,0,1,A,0,0,D,13,15,3,3,10,12,6,4,3,3,0,0,7,7,3,3,6,5,5,3,12,14,10,8,20,38,16,57,59,87,63,105,12,13,7,11,25,35,18,30,11,8,9,33,31,21,32,58,56,33,42,48,117,91,95,105,9,5,13,9,14,14,21,17,0,1,3,3,0,3,3,3,-1.7214080000000003,5.492672000000001
